,filter_type,columns,rows_initial,rows_removed,threshold,rows,Plate_Number
Initial_Dataset,Initial Dataset,3041,7005,0,"None,None",,Plate 1
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3041,7005,0,min_compartments=0,7005.0,Plate 1
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3041,7005,0,min_compartments=0,7005.0,Plate 1
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3041,7005,61,Bottom threshold: 14673.4,6943.0,Plate 1
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3041,7005,1,Top threshold: 1205365.4749999994,6943.0,Plate 1
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3041,7005,75,Bottom threshold: 7067.3,6927.0,Plate 1
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3041,7005,3,Top threshold: 90541.29999999999,6927.0,Plate 1
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3041,7005,132,Bottom threshold: 1.6164851817503756,6873.0,Plate 1
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3041,7005,134,Top threshold: 23.524498226650216,6871.0,Plate 1
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3041,7005,1,Bottom threshold: 0.017490560535990362,7004.0,Plate 1
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3041,7005,11,Top threshold: 2.5,6994.0,Plate 1
Cell_Neighbours_Filter,First Closest Neighbour distance < 0.025th percentile (97.5th closest distance) or == 0 (no neighbours),3041,7005,129,Min closest neighbour distance: 134.6472410594589,6876.0,Plate 1
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3041,7005,7005,Max Percent Touching: 0.0,0.0,Plate 1
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3041,7005,7005,Max Number Of Neighbours: 0.0,0.0,Plate 1
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3041,7005,0,Max Number Of Nuclei Neighbours: 0.0,7005.0,Plate 1
Initial_Dataset,Initial Dataset,3041,9360,0,"None,None",,Plate 2
